scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,type,open_access,scopus_asjc_code,subject_area,quartile,top_10%,scopus_link,print_issn,e_issn,index,frequency,review_time,user_index,user_publisher,user_percentile,user_frequency,user_open_access,user_review_time,PSI
72242,International Journal of Computer Vision,15.78,95,4370,277,83,7.965,3.595,4,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,Top 10%,https://www.scopus.com/sourceid/72242,9205691,,Scopus,Bi-monthly,12 weeks,-0.04108825169489039,0.4026120388577461,0.15391072109881723,0.17216681830188138,0.027074222991811843,0.08608340915094065,0.8007589587063069
19400158515,Cognitive Computation,5.05,90,1021,202,83,1.898,1.06,8,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,Top 10%,https://www.scopus.com/sourceid/19400158515,18669956,18669964,Scopus,Monthly,18 weeks,-0.04108825169489039,0.4026120388577461,0.15391072109881723,0.2152085228773517,0.027074222991811843,0.043041704575470324,0.8007589587063068
19700177336,International Journal of Machine Learning and Cybernetics,3.72,79,1173,315,80,1.325,0.786,16,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,,https://www.scopus.com/sourceid/19700177336,18688071,1868808X,Scopus,Bi-annually,6 weeks,-0.04108825169489039,0.4026120388577461,0.15391072109881723,0.08608340915094069,0.027074222991811843,0.1721668183018813,0.8007589587063068
21100856541,Visualization in Engineering,2.92,74,140,48,65,1.407,0.537,20,76,Springer,Journal,YES,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/21100856541,,22137459,Scopus,Annually,4 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.043041704575470345,0.054148445983623686,0.21520852287735162,0.7816599653684734
26146,Visual Computer,1.74,51,692,398,64,1.119,0.375,37,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/26146,1782789,14322315,Scopus,Monthly,18 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.2152085228773517,0.027074222991811843,0.043041704575470324,0.7545857423766617
130138,International Journal on Document Analysis and Recognition,2.9,73,174,60,80,1.212,0.419,21,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/130138,14332833,,Scopus,Quarterly,10 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.12912511372641103,0.027074222991811843,0.12912511372641097,0.7545857423766617
24822,Pattern Analysis and Applications,1.78,54,388,218,66,1.046,0.358,35,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/24822,14337541,1433755X,Scopus,Bi-annually,6 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.08608340915094069,0.027074222991811843,0.1721668183018813,0.7545857423766615
28501,Journal of Mathematical Imaging and Vision,1.89,57,420,222,61,1.329,0.669,33,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/28501,9249907,15737683,Scopus,Annually,4 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.043041704575470345,0.027074222991811843,0.21520852287735162,0.7545857423766615
4700152490,International journal of computer assisted radiology and surgery,2.34,65,1427,610,70,1.128,0.625,27,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/4700152490,18616410,18616429,Scopus,Annually,4 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.043041704575470345,0.027074222991811843,0.21520852287735162,0.7545857423766615
12984,Machine Vision and Applications,2.22,61,491,221,65,1.018,0.375,30,76,Springer,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile2,,https://www.scopus.com/sourceid/12984,9328092,14321769,Scopus,Bi-monthly,12 weeks,-0.04108825169489039,0.4026120388577461,0.10773750476917206,0.17216681830188138,0.027074222991811843,0.08608340915094065,0.7545857423766615
25549,Image and Vision Computing,3.58,76,966,270,74,1.541,0.633,18,76,Elsevier,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,,https://www.scopus.com/sourceid/25549,2628856,,Scopus,Bi-monthly,12 weeks,-0.04108825169489039,0.34222023302908416,0.15391072109881723,0.17216681830188138,0.027074222991811843,0.08608340915094065,0.740367152877645
17271,Medical Image Analysis,8.79,92,3234,368,88,3.688,2.452,6,76,Elsevier,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,Top 10%,https://www.scopus.com/sourceid/17271,13618415,,Scopus,Bi-annually,6 weeks,-0.04108825169489039,0.34222023302908416,0.15391072109881723,0.08608340915094069,0.027074222991811843,0.1721668183018813,0.7403671528776449
25548,Signal Processing,4.73,88,5049,1067,86,1.965,0.905,9,76,Elsevier,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,,https://www.scopus.com/sourceid/25548,1651684,,Scopus,Monthly,18 weeks,-0.04108825169489039,0.34222023302908416,0.15391072109881723,0.2152085228773517,0.027074222991811843,0.043041704575470324,0.7403671528776449
24825,Pattern Recognition Letters,3.73,80,3054,819,79,1.64,0.662,15,76,Elsevier,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,,https://www.scopus.com/sourceid/24825,1678655,,Scopus,Annually,4 weeks,-0.04108825169489039,0.34222023302908416,0.15391072109881723,0.043041704575470345,0.027074222991811843,0.21520852287735162,0.7403671528776449
13803,Signal Processing: Image Communication,3.93,82,1504,383,80,1.615,0.562,14,76,Elsevier,Journal,NO,1707,Computer Vision and Pattern Recognition,Quartile1,,https://www.scopus.com/sourceid/13803,9235965,,Scopus,Quarterly,10 weeks,-0.04108825169489039,0.34222023302908416,0.15391072109881723,0.12912511372641103,0.027074222991811843,0.12912511372641097,0.7403671528776449
