scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,publication_type,open_access,scopus_asjc_code,subject_area,quartile,top_10,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,user_index,user_publisher,user_percentile,user_frequency,user_open_access,PSI
23674,Applied Intelligence,3.53,76,1281,363,84,1.561,0.651,46,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/23674,Scopus,Springer,1,Monthly,http://www.springerlink.com/content/100236/,,No,0924-669X,1573-7497,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8974388437234582
24800,Neural Computing and Applications,4.2,82,3124,744,80,1.4809999999999999,0.637,34,190,Springer London,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24800,Scopus,Springer,1,Monthly,http://www.springerlink.com/content/102827/,,No,0941-0643,1433-3058,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8974388437234582
72242,International Journal of Computer Vision,15.78,98,4370,277,83,7.965,3.595,3,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/72242,Scopus,Springer,1,Monthly,http://www.springerlink.com/content/100272/,,No,0920-5691,1573-1405,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8974388437234582
15703,Knowledge and Information Systems,3.62,77,1240,343,80,1.86,0.704,43,190,Springer London,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/15703,Scopus,Springer,1,Monthly,http://www.springerlink.com/content/105441/,,No,0219-1377,0219-3116,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8974388437234582
26529,Fuzzy Sets and Systems,3.59,76,2359,657,75,1.885,1.347,45,190,Elsevier,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/26529,Scopus,Elsevier,1,Semi-monthly,http://www.journals.elsevier.com/fuzzy-sets-and-systems/#description,,No,0165-0114,1872-6801,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.16077481613997885,0.06683341935654635,0.848119945163121
24201,Expert Systems with Applications,6.36,92,13082,2056,91,2.696,1.19,14,190,Elsevier Ltd,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/24201,Scopus,Elsevier,1,Semi-monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/939/description#description,,No,0957-4174,1873-6793,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.16077481613997885,0.06683341935654635,0.848119945163121
24807,Neurocomputing,5.0,89,20625,4128,86,1.7790000000000001,0.996,20,190,Elsevier,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24807,Scopus,Elsevier,1,Semi-monthly,http://www.journals.elsevier.com/neurocomputing/#description,,No,0925-2312,1872-8286,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.16077481613997885,0.06683341935654635,0.848119945163121
23675,Artificial Intelligence,4.33,83,1053,243,83,2.8,1.008,31,190,Elsevier,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/23675,Scopus,Elsevier,1,Monthly,http://www.journals.elsevier.com/artificial-intelligence/#description,,No,0004-3702,1872-7921,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
24140,Artificial Intelligence in Medicine,4.35,85,749,172,84,1.758,1.025,28,190,Elsevier,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24140,Scopus,Elsevier,1,Monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/505627/description#description,,No,0933-3657,1873-2860,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
24182,Engineering Applications of Artificial Intelligence,4.58,87,2822,616,88,1.815,0.881,24,190,Elsevier Ltd,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24182,Scopus,Elsevier,1,Monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/975/description#description,,No,0952-1976,1873-6769,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
24825,Pattern Recognition Letters,3.73,79,3054,819,79,1.64,0.662,40,190,Elsevier,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24825,Scopus,Elsevier,1,Monthly,http://www.journals.elsevier.com/pattern-recognition/#description,,No,0167-8655,1872-7344,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
24823,Pattern Recognition,7.35,95,7803,1061,91,3.012,1.363,10,190,Elsevier Ltd,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/24823,Scopus,Elsevier,1,Monthly,http://www.journals.elsevier.com/pattern-recognition/#description,,No,0031-3203,1873-5142,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
24804,Neural Networks,9.86,97,4350,441,87,3.656,1.97,6,190,Elsevier Ltd,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/24804,Scopus,Elsevier,1,Monthly,http://www.journals.elsevier.com/neural-networks/,,No,0893-6080,1879-2782,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.8302560767031233
19700177336,International Journal of Machine Learning and Cybernetics,3.72,78,1173,315,80,1.325,0.786,41,190,Springer Science + Business Media,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/19700177336,Scopus,Springer,1,Bi-monthly,http://link.springer.com/journal/13042,,No,1868-8071,1868-808X,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.07145547383999061,0.06683341935654635,0.8259833698834675
24141,Artificial Intelligence Review,6.09,91,652,107,89,3.5780000000000003,1.055,16,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/24141,Scopus,Springer,1,Bi-monthly,http://www.springerlink.com/content/100240/,,No,0269-2821,1573-7462,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.07145547383999061,0.06683341935654635,0.8259833698834675
18016,Autonomous Robots,4.21,82,867,206,85,2.0909999999999997,1.049,33,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/18016,Scopus,Springer,1,Bi-monthly,http://www.springerlink.com/content/100243/,,No,0929-5593,1573-7527,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.07145547383999061,0.06683341935654635,0.8259833698834675
24363,Journal of Intelligent Manufacturing,4.2,82,1307,311,86,1.921,1.389,34,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24363,Scopus,Springer,1,Bi-monthly,http://www.springerlink.com/content/0956-5515,,No,0956-5515,1572-8145,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.07145547383999061,0.06683341935654635,0.8259833698834675
24775,Machine Learning,2.78,70,573,206,71,1.743,0.71,56,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile2,,https://www.scopus.com/sourceid/24775,Scopus,Springer,2,Monthly,unsafe:jttp://www.springerlink.com/content/100309/,,No,0885-6125,1573-0565,-0.02662437905642266,0.44788511346889964,0.1865036195921176,0.14291094767998122,0.06683341935654635,0.817508721041122
24360,Journal of Intelligent and Robotic Systems: Theory and Applications,2.83,71,1311,464,72,1.4380000000000002,0.575,54,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile2,,https://www.scopus.com/sourceid/24360,Scopus,Springer,2,Monthly,http://www.springerlink.com/content/100290/,,No,0921-0296,1573-0409,-0.02662437905642266,0.44788511346889964,0.1865036195921176,0.14291094767998122,0.06683341935654635,0.817508721041122
24157,Autonomous Agents and Multi-Agent Systems,2.32,65,278,120,72,1.459,0.566,66,190,Springer Netherlands,Journal,NO,1702,Artificial Intelligence,Quartile2,,https://www.scopus.com/sourceid/24157,Scopus,Springer,2,Annual,http://www.springerlink.com/content/102852/,,No,1387-2532,1573-7454,-0.02662437905642266,0.44788511346889964,0.1865036195921176,0.12504707921998354,0.06683341935654635,0.7996448525811244
11700154734,Swarm Intelligence,3.82,80,153,40,85,2.042,0.511,38,190,Springer New York,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/11700154734,Scopus,Springer,1,Quarterly,http://www.springerlink.com/content/1935-3812,,No,1935-3812,1935-3820,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.035727736919995305,0.06683341935654635,0.7902556329634722
24207,Fuzzy Optimization and Decision Making,4.35,85,309,71,85,1.919,1.264,28,190,Springer New York,Journal,NO,1702,Artificial Intelligence,Quartile1,,https://www.scopus.com/sourceid/24207,Scopus,Springer,1,Quarterly,http://www.springerlink.com/content/108654/,,No,1568-4539,1573-2908,-0.02662437905642266,0.44788511346889964,0.2664337422744537,0.035727736919995305,0.06683341935654635,0.7902556329634722
15134,Information Sciences,6.9,93,14026,2034,90,2.636,1.62,13,190,Elsevier Inc.,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/15134,Scopus,Elsevier,1,Fortnightly,http://www.journals.elsevier.com/information-sciences/#description,,No,0020-0255,1872-6291,-0.02662437905642266,0.3807023464485647,0.2664337422744537,0.08931934229998825,0.06683341935654635,0.7766644713231303
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,19.67,99,11347,577,92,9.231,3.764,1,190,IEEE Computer Society,Journal,NO,1702,Artificial Intelligence,Quartile1,Top 10%,https://www.scopus.com/sourceid/24254,Scopus,IEEE,1,Monthly,http://www.computer.org/portal/web/tpami,,No,0162-8828,1939-3539,-0.02662437905642266,0.3135195794282297,0.2664337422744537,0.14291094767998122,0.06683341935654635,0.7630733096827884
