scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,publication_type,open_access,scopus_asjc_code,subject_area,quartile,top_10,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,my_index,my_publisher,my_percentile,my_frequency,my_open_access
11600153445,Journal of Mathematics and the Arts,0.1,5,3,31,10,0.368,0.126,67,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/11600153445,Scopus,Taylor and Francis,4,Quarterly,http://www.tandfonline.com/loi/tmaa20,,No,1751-3472,1751-3480,1.0,0.55,0.7,0.2,0.5
14452,Simulation,1.61,50,350,217,58,1.09,0.286,35,70,SAGE Publications Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/14452,Scopus,Others,2,Monthly,http://sim.sagepub.com/,,No,0037-5497,1741-3133,1.0,0.4,0.3,0.7,0.5
144702,Virtual Reality,3.87,86,201,52,77,1.994,0.48,10,70,Springer London,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/144702,Scopus,Springer,1,Quarterly,http://www.springerlink.com/content/1359-4338/,,No,1359-4338,1434-9957,1.0,1.0,1.0,0.2,0.5
144891,Digital Creativity,0.49,16,39,80,29,0.286,0.158,59,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/144891,Scopus,Taylor and Francis,4,Quarterly,http://www.tandfonline.com/loi/ndcr20,,No,1462-6268,1744-3806,1.0,0.55,0.7,0.2,0.5
144972,Design Issues,0.75,27,88,118,34,0.804,0.274,51,70,MIT Press Journals,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/144972,Scopus,Others,3,Quarterly,http://www.mitpressjournals.org/loi/desi,,No,0747-9360,1531-4790,1.0,0.4,0.5,0.2,0.5
145508,Computer Animation and Virtual Worlds,1.04,37,168,161,47,0.789,0.233,44,70,John Wiley and Sons Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/145508,Scopus,Others,3,Bi-monthly,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-427X,,No,1546-4261,1546-427X,1.0,0.4,0.5,0.6,0.5
147203,Design Journal,0.64,20,87,136,28,0.509,0.246,56,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/147203,Scopus,Taylor and Francis,4,Tri-annual,http://www.tandfonline.com/toc/rfdj20/current,,No,1460-6925,1756-3062,1.0,0.55,0.7,0.3,0.5
15484,International Journal of Computers and Applications,0.75,27,44,59,41,0.37,0.128,51,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/15484,Scopus,Taylor and Francis,3,Bi-monthly,,,No,1206-212X,,1.0,0.55,0.5,0.6,0.5
17271,Medical Image Analysis,8.79,97,3234,368,88,3.688,2.452,2,70,Elsevier,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/17271,Scopus,Elsevier,1,Bi-monthly,,,No,1361-8415,,1.0,0.85,1.0,0.6,0.5
17600155397,International Journal of Design,2.81,73,166,59,88,1.301,0.515,19,70,National Taiwan University of Science and Technology,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/17600155397,Scopus,Others,2,Tri-annual,http://www.ijdesign.org/ojs/index.php/IJDesign,,Yes,1991-3761,1994-036X,1.0,0.4,0.3,0.3,1.0
